prd_company,num_movies,com_dom_bo,com_wrld_bo
Tollin/Robbins,3,"$245,866,167","$340,608,596"
Feigco Entertainment,8,"$245,377,226","$509,480,271"
New Republic Pictures,3,"$243,955,629","$516,142,389"
Pitt Bull,1,"$242,704,995","$484,468,608"
Sahdy Acres,1,"$242,704,995","$484,468,608"
Gotham Group,12,"$242,459,865","$925,586,362"
Beijing Universe Starlight Culture Media Company,5,"$241,930,785","$858,114,242"
Josephson Entertainment,5,"$241,875,083","$610,901,710"
Why Not Productions,27,"$241,652,381","$512,672,091"
Intermedia Film,9,"$240,967,146","$559,121,997"
Rocket Pictures,4,"$239,578,701","$470,279,918"
QED International,9,"$237,929,378","$638,568,953"
Bona Film Group,11,"$237,002,144","$1,196,208,857"
QC Entertainment,6,"$236,873,130","$366,107,675"
Bay Films,3,"$235,149,245","$680,802,118"
Curtis-Donen Productions,1,"$234,770,996","$490,359,051"
Carolco Pictures,2,"$233,970,952","$548,307,175"
Simon Kinberg,1,"$233,921,534","$747,862,775"
A24,31,"$233,586,920","$391,919,773"
Section Eight,6,"$233,203,528","$544,095,992"
Lawrence Bender,5,"$232,562,719","$423,268,609"
Smokehouse Pictures,6,"$231,819,337","$446,801,152"
Twisted Pictures,7,"$231,503,166","$561,680,473"
Hyayi Brothers Corp.,24,"$230,319,851","$1,481,724,194"
Jim Henson Productions,6,"$230,012,047","$291,455,854"
Goldcrest Films,20,"$229,018,589","$519,488,565"
Blue Light,2,"$227,991,744","$625,921,263"
Pearl Street,10,"$227,864,744","$528,071,177"
Leonard Goldberg,2,"$226,119,873","$486,936,090"
M. Productions,2,"$225,978,492","$636,153,396"
Burg-Knoules,5,"$225,896,749","$448,643,974"
Vendian Entertainment,8,"$224,904,055","$467,397,928"
Charles B. Wessler Entertainment,4,"$224,466,858","$564,630,401"
River Road Entertainment,11,"$224,315,604","$725,485,156"
Interscope Films,7,"$223,676,887","$450,026,017"
Guillermo del Toro,3,"$223,582,629","$656,750,015"
Impact Pictures,10,"$223,432,164","$1,219,917,752"
Moving Pictures,3,"$223,271,376","$331,085,778"
Wild Bunch,61,"$222,913,053","$758,613,658"
Sommers Company,3,"$222,642,322","$707,231,868"
On The Day Productions,5,"$221,369,355","$268,326,185"
Alliance Films,12,"$220,917,826","$429,000,838"
Strike Entertainment,7,"$220,560,999","$623,137,435"
Dickhouse,3,"$219,232,711","$332,588,812"
Blue Wolf,1,"$219,195,051","$441,286,003"
Mirage Enterprises,4,"$216,699,635","$412,511,398"
Queen Films,1,"$216,303,339","$903,526,372"
Live Nation Productions,2,"$216,102,710","$434,918,828"
Bill Gerber,1,"$215,288,866","$434,104,984"
Wrigley Pictures,6,"$215,241,593","$626,975,609"
Riche-Ludwig,2,"$214,843,286","$519,102,250"
Gratitude International,1,"$213,117,789","$296,338,663"
Practical Pictures,5,"$212,664,768","$640,917,614"
Provident Films,11,"$212,410,870","$222,645,302"
Conundrum Entertainment,4,"$212,394,225","$425,548,106"
Zadan/Meron,2,"$212,338,351","$377,843,017"
Aggregate Films,5,"$211,728,521","$301,187,409"
Double Dream,1,"$211,593,228","$470,288,232"
The Bedford Falls Company,4,"$211,428,369","$736,310,575"
Karz Entertainment,4,"$211,304,475","$425,654,602"
IMAX Corporation,10,"$210,158,723","$289,845,933"
Big Kid Pictures,4,"$208,434,597","$452,110,558"
Image Entertainment,8,"$208,236,506","$555,441,803"
Mr. Mudd,10,"$207,575,892","$325,441,115"
Studio Babelsberg,11,"$207,455,905","$614,107,529"
Access Entertainment,2,"$206,869,238","$696,668,220"
Kevin Feige,1,"$206,362,140","$644,602,516"
Eric's Boy,1,"$206,040,085","$312,383,487"
Mythology Entertainment,6,"$205,957,861","$459,506,747"
Lloyd Levin,3,"$205,400,050","$388,150,793"
DNA Films,15,"$204,824,891","$508,182,402"
Whitaker Entertainment,4,"$204,281,317","$320,423,618"
Zhiv,3,"$203,615,100","$383,279,805"
Ivan Reitman Production,3,"$201,534,845","$317,931,537"
Brandywine,2,"$200,739,115","$640,969,512"
Herrick Entertainment,5,"$200,730,790","$283,273,957"
Film 4,38,"$199,458,484","$671,215,963"
