movie_id,item_id,inv_exist,cluster_kmeans
tt0117218,.,0,19
tt4465564,.,0,18
tt1535109,.,0,21
tt0119190,.,0,19
tt0328828,.,0,19
tt3402236,.,0,18
tt0455944,.,0,18
tt4477536,.,0,7
tt0112642,.,0,19
tt1279935,.,0,19
tt0252076,.,0,23
tt0112740,.,0,6
tt0408790,.,0,18
tt0109635,.,0,6
tt0120632,.,0,6
tt1109624,.,0,18
tt0449089,.,0,19
tt0111282,.,0,6
tt0131325,.,0,19
tt0098439,.,0,11
tt0104070,.,0,6
tt0184894,.,0,19
tt0116253,.,0,6
tt1621039,.,0,19
tt0865556,.,0,13
tt0293508,.,0,6
tt2281587,.,0,7
tt0116250,.,0,20
tt4302938,.,0,10
tt0122690,.,0,13
tt1126591,.,0,1
tt0116409,.,0,23
tt0824747,.,0,21
tt1298649,.,0,13
tt0269347,.,0,13
tt0128278,.,0,23
tt0338466,.,0,23
tt0839980,.,0,23
tt2798920,.,0,1
tt2554274,.,0,1
tt1430626,.,0,13
tt0402022,.,0,7
tt0115857,.,0,23
tt0116277,.,0,23
tt0414055,.,0,1
tt0780567,.,0,13
tt0279111,.,0,6
tt0120390,.,0,12
tt0405676,.,0,23
tt0167456,.,0,12
tt0338216,.,0,23
tt0130089,.,0,3
tt0160184,.,0,17
tt0463034,.,0,23
tt0814314,.,0,21
tt0099674,.,0,21
tt0368709,.,0,23
tt0299930,.,0,7
tt0162650,.,0,19
tt0377818,.,0,19
tt1197624,.,0,13
tt1355683,.,0,6
tt0118617,.,0,13
tt0203009,.,0,8
tt0249478,.,0,23
tt0418689,.,0,6
tt0462322,.,0,6
tt0120603,.,0,11
tt1790885,.,0,8
tt0264464,.,0,21
tt0795421,.,0,19
tt0452594,.,0,19
tt0817230,.,0,19
tt0112641,.,0,6
tt1488555,.,0,23
tt0120863,.,0,10
tt0125664,.,0,6
tt1179034,.,0,1
tt0245803,.,0,7
tt0183505,.,0,19
tt4244998,.,0,1
tt0790604,.,0,7
tt1385826,.,0,23
tt1259571,I-1020,1,5
tt0126029,.,0,2
tt1637725,.,0,9
tt2294449,.,0,19
tt0102798,.,0,6
tt0116695,.,0,6
tt1528854,I-1066,1,19
tt0119822,.,0,21
