movie_id,prd_company
tt5697572,"Working Title Films, Amblin Entertainment, Perfect World Pictures, Monumental Pictures, The Really Useful Group"
tt1390411,"Warner Bros., Village Roadshow Productions, Cott Productions    , Enelmar Productions, A.I.E. , Roth Films, Spring Creek    , Imagine Entertainment, Kia Jam Productions, RatPac Entertainment, Dune Entertainment"
tt2209764,"Straight Up Films, DMG Entertainment"
tt0362165,"New Line Cinema, Radar Pictures, Dark Horse Entertainment"
tt1571234,"Media Rights Capital, Wingnut Films, Universal Pictures, Scholastic Entertainment Inc., Silvertongue Films, Perfect World Pictures"
tt0180052,"Village Roadshow Productions, Castle Rock Entertainment"
tt3089630,"Walt Disney Pictures, Tribeca Film"
tt2452042,"Blue Sky Studios, 20th Century Fox Animation"
tt3513498,"Lord Miller, Vertigo Entertainment, Rideback, Warner Bros., Lego Systems A/S "
tt4532826,"Appian Way, Safehouse Pictures, Summit Entertainment, Thunder Road Film"
tt0209163,Alphaville
tt0217505,Alberto Grimaldi
tt2316204,"20th Century Fox, Scott Free Films, TSG Entertainment, Brandywine"
tt1661199,Walt Disney Productio
tt1667889,"20th Century Fox, Blue Sky Studios"
tt0265086,"Revolution Studios, Columbia Pictures, Jerry Bruckheimer, Scott Free Films"
tt1261945,"New Line Cinema, HBO Films, Village Roadshow Productions, Darren Star"
tt0814255,"Fox 2000 Pictures, 1492 Pictures, Sunswept Entertainment, Dune Entertainment, Big Screen Prods, Phoenix Pictures"
tt1790886,"Warner Bros., Gary Sanchez Productions, Everyman Pictures"
tt0477080,"Big Screen Prods, Ingenious Media, Scott Free Films, Prospect Park"
tt0119116,Gaumont
