movie_id,release_date,genre,country,language
tt2094766,21-Dec-16,"Action, Adventure, Sci-Fi","USA, France, UK, Hong Kong, Taiwan, Malta",english
tt3095734,13-Jan-17,"Action, Adventure, Comedy, Family, Fantasy, Sci-Fi",Canada,english
tt0120657,27-Aug-99,"Action, Adventure, History",USA,english
tt7504726,21-Feb-20,"Adventure, Drama, Family",USA,english
tt0170016,17-Nov-00,"Comedy, Family, Fantasy",USA,english
tt0177971,30-Jun-00,"Action, Adventure, Drama, Thriller",USA,english
tt4196776,29-Jul-16,"Action, Thriller","USA, China",english
tt0454876,21-Nov-12,"Adventure, Drama, Fantasy","USA, Taiwan, UK, Canada",english
tt0259324,16-Feb-07,"Action, Fantasy, Thriller","USA, Australia",english
tt2231461,13-Apr-18,"Action, Adventure, Sci-Fi",USA,english
tt0305357,27-Jun-03,"Action, Adventure, Comedy, Crime",USA,english
tt1535108,09-Aug-13,"Action, Drama, Sci-Fi","USA, Mexico, Canada",english
tt1483013,19-Apr-13,"Action, Adventure, Sci-Fi",USA,english
tt3717490,24-Mar-17,"Action, Adventure, Sci-Fi","USA, Hong Kong, Japan, Mexico, Canada, New Zealand",english
tt0243585,19-Jul-02,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1234721,12-Feb-14,"Action, Crime, Sci-Fi, Thriller",USA,english
tt0296572,11-Jun-04,"Action, Adventure, Sci-Fi, Thriller",USA,english
tt3113456,10-Jul-15,Documentary,USA,english
tt0811080,09-May-08,"Action, Adventure, Comedy, Drama, Family, Sci-Fi, Sport","USA, Australia, Germany",english
tt0399201,22-Jul-05,"Action, Sci-Fi, Thriller",USA,english
tt1341188,17-Dec-10,"Comedy, Drama, Romance",USA,english
tt1013743,23-Jun-10,"Action, Adventure, Comedy",USA,english
tt1270797,05-Oct-18,"Action, Sci-Fi, Thriller","China, USA",english
tt0198781,02-Nov-01,"Animation, Adventure, Comedy, Family, Fantasy",USA,english
tt1430132,26-Jul-13,"Action, Adventure, Sci-Fi","USA, UK",english
tt0118928,07-Feb-97,"Action, Adventure, Thriller",USA,english
tt2381991,22-Apr-16,"Action, Adventure, Drama, Fantasy, Romance, Thriller","USA, China",english
tt0245562,14-Jun-02,"Action, Drama, War",USA,english
tt1320261,25-Dec-10,"Adventure, Comedy, Family, Fantasy",USA,english
tt3411444,15-Dec-17,"Animation, Adventure, Comedy, Family, Fantasy","USA, Spain",english
tt5463162,18-May-18,"Action, Adventure, Comedy, Sci-Fi",USA,english
tt1454468,04-Oct-13,"Drama, Sci-Fi, Thriller","UK, USA",english
tt0477347,22-Dec-06,"Adventure, Comedy, Family, Fantasy","USA, UK",english
tt2126355,29-May-15,"Action, Adventure, Drama, Thriller",USA,english
tt0472181,29-Jul-11,"Animation, Adventure, Comedy, Family, Fantasy","USA, Belgium, Canada",english
tt0337978,27-Jun-07,"Action, Thriller","USA, UK",english
tt0349903,10-Dec-04,"Crime, Thriller",USA,english
tt0120347,19-Dec-97,"Action, Adventure, Thriller","UK, USA",english
tt0187393,28-Jun-00,"Action, Drama, History, War","USA, Germany",english
tt1253863,07-Mar-14,"Action, Drama",USA,english
tt0338751,25-Dec-04,"Biography, Drama","Germany, USA",english
tt1355644,21-Dec-16,"Drama, Romance, Sci-Fi, Thriller","USA, Australia",english
tt0990407,14-Jan-11,"Action, Comedy",USA,english
tt1935859,30-Sep-16,"Adventure, Drama, Fantasy, Thriller","USA, UK, Belgium, Canada",english
tt0433035,07-Oct-11,"Action, Drama, Family, Sci-Fi, Sport","USA, India",english
tt2283336,14-Jun-19,"Action, Adventure, Comedy, Sci-Fi","China, USA",english
tt0429493,11-Jun-10,"Action, Adventure, Thriller","USA, UK",english
tt2017020,31-Jul-13,"Animation, Adventure, Comedy, Family, Fantasy","USA, France, Canada, Belgium",english
tt1111422,12-Jun-09,"Action, Crime, Thriller","USA, UK",english
tt1731141,01-Nov-13,"Action, Adventure, Fantasy, Sci-Fi",USA,english
