votes
"150,825"
"119,676"
"194,541"
"230,837"
"28,954"
"88,124"
"230,420"
"34,303"
"206,989"
"53,391"
"162,747"
"17,963"
"92,124"
"235,812"
"82,996"
"15,187"
"345,778"
"47,086"
"636,222"
"78,881"
"29,012"
43
"496,158"
"40,992"
"145,284"
"54,059"
"181,476"
22
"49,739"
"211,723"
"183,372"
"29,051"
"158,914"
"61,263"
"45,111"
"68,006"
"99,055"
"134,903"
"105,516"
"24,984"
"44,429"
"60,544"
"128,692"
"27,101"
"24,172"
"56,527"
"73,419"
"14,384"
"172,791"
"128,497"
"66,252"
"19,553"
"118,192"
"90,093"
"20,335"
"24,049"
"35,983"
"21,517"
"26,791"
"10,880"
"51,893"
"60,046"
17
"13,506"
"35,753"
"173,740"
"7,706"
"27,150"
"16,878"
"71,672"
"59,013"
"26,095"
"69,037"
"77,476"
"37,902"
"96,417"
"173,398"
"143,570"
"51,006"
"8,199"
10
0
"52,433"
"40,885"
"57,832"
"33,922"
"24,342"
"12,680"
"51,055"
"80,250"
"12,716"
"129,109"
"11,926"
"15,830"
"65,609"
"27,817"
"62,278"
"67,710"
"20,279"
"27,897"
"44,396"
"39,069"
"140,996"
"22,049"
"11,647"
"290,909"
"36,394"
"5,177"
"25,866"
"161,149"
"33,664"
"4,289"
"27,085"
"61,248"
"48,598"
"3,878"
164
"17,327"
"11,324"
"11,300"
"16,561"
"13,981"
"135,698"
"222,350"
"29,587"
"40,937"
"552,756"
"148,866"
"48,548"
"115,584"
"47,694"
"1,739"
"98,657"
"36,754"
"16,237"
"80,184"
"27,691"
"11,826"
0
"8,660"
"105,265"
"345,797"
"422,936"
"170,367"
"31,753"
"17,230"
"748,952"
"71,463"
"38,041"
"99,610"
"329,650"
"41,894"
"214,458"
"38,617"
"44,974"
"124,058"
"72,530"
"225,770"
"86,593"
"97,958"
"252,691"
"216,113"
"99,940"
"509,585"
"237,593"
"53,210"
"68,078"
"88,919"
"238,726"
"89,573"
"31,036"
"654,995"
"39,189"
"83,701"
"245,654"
"82,005"
"107,922"
"38,094"
"38,461"
"51,810"
"10,159"
"79,657"
"48,314"
"24,692"
"4,925"
"19,555"
"24,835"
"66,482"
0
"339,241"
"89,719"
"86,773"
"12,870"
"7,707"
"16,126"
"72,425"
"52,955"
"38,394"
"506,951"
"67,064"
"44,361"
"61,386"
"172,637"
"15,609"
"26,061"
"89,834"
"165,571"
"52,320"
"292,143"
