movie_id,prd_mthd
tt1197624,live action
tt1355683,live action
tt0118617,hand animation
tt0203009,live action
tt0249478,live action
tt0418689,live action
tt0462322,live action
tt0120603,live action
tt1790885,live action
tt0264464,live action
tt0795421,live action
tt0452594,live action
tt0817230,live action
tt0112641,live action
tt1488555,live action
tt0120863,live action
tt0125664,live action
tt1179034,live action
tt0245803,live action
tt0183505,live action
tt4244998,live action
tt0790604,live action
tt1385826,live action
tt1259571,live action
tt0126029,digital animation
tt1637725,animation/live action
tt2294449,live action
tt0102798,live action
tt0116695,live action
tt1528854,live action
tt0119822,live action
tt0129290,live action
tt1489889,live action
tt1229340,live action
tt1650062,live action
tt0280590,live action
tt0195685,live action
tt6343314,live action
tt5117670,animation/live action
tt0251127,live action
tt0110148,live action
tt7959026,live action
tt1068680,live action
tt2024469,live action
tt0120686,live action
tt0427229,live action
tt0454848,live action
tt4877122,digital animation
tt1570728,live action
tt6294822,live action
tt0120784,live action
tt0112715,live action
tt0448011,live action
tt0377109,live action
tt1389137,live action
tt1210166,live action
tt0388419,live action
tt0775408,live action
tt0114069,live action
tt1075417,live action
tt0356618,live action
tt0400497,live action
tt0300471,live action
tt0381971,hand animation
tt1605630,live action
tt1428538,live action
tt1464540,live action
tt0250797,live action
tt3532216,live action
tt0365737,live action
tt0318627,live action
tt2262227,digital animation
tt0118548,live action
tt0408345,live action
tt0119174,live action
tt0119173,live action
tt2106361,live action
tt1872194,live action
tt0384537,live action
tt1206885,Live Action
tt0191397,live action
tt0120768,live action
tt2005151,live action
tt0109254,live action
tt0099700,live action
tt0119874,live action
tt0313443,live action
tt0317198,live action
tt0163978,live action
tt0110725,live action
tt1186367,live action
tt0350028,live action
tt3799694,live action
tt0126916,live action
tt0141109,live action
tt1392197,animation/live action
tt0117765,live action
tt1212419,live action
tt0264935,live action
tt0112401,live action
tt5478478,live action
tt1608290,live action
tt1571569,live action
tt0367959,live action
tt0160916,live action
tt1517260,live action
tt0264395,live action
tt2199571,live action
tt0309377,live action
tt0963178,live action
tt0116225,live action
tt0315297,live action
tt5294550,live action
tt0362270,live action
tt0129167,hand animation
tt2274648,live action
tt1240982,live action
tt4477936,live action
tt1462041,live action
tt1124037,live action
tt1034032,live action
tt0331933,live action
tt0289992,live action
tt1559547,live action
tt0378109,live action
tt0765443,live action
tt0109190,live action
tt0151137,live action
tt0113010,live action
tt1502404,live action
tt0119592,live action
tt0114345,live action
tt0421054,live action
tt0113451,live action
tt0891592,live action
tt0266452,live action
tt4701724,stop-motion animation
tt0315824,live action
tt0181151,live action
tt4426464,digital animation
tt7134096,live action
tt1014763,live action
tt1374992,live action
tt2072227,live action
tt7547410,live action
tt0267804,live action
tt1823672,animation/live action
tt0098987,live action
tt1781769,live action
tt0097576,live action
tt0298130,live action
tt0181865,live action
tt0258000,live action
tt1560220,live action
tt0155267,live action
tt7401588,live action
tt0145681,live action
tt0120188,live action
tt0808510,live action
tt0250687,live action
tt0381849,live action
tt0272152,live action
tt0230030,live action
tt0120780,live action
tt0087089,live action
tt5033998,live action
tt0462499,live action
tt1355631,live action
tt0099422,live action
tt2543164,live action
tt0115798,live action
tt0106220,live action
tt1757737,live action
tt0200027,live action
tt0307479,live action
tt1075747,live action
tt0117002,live action
tt0490215,live action
tt0119738,live action
tt0265029,live action
tt0117731,live action
tt0278504,live action
tt1392214,live action
tt0115956,live action
tt0119528,live action
tt0120623,digital animation
tt1397280,live action
tt0109813,live action
tt0306047,live action
tt0212346,live action
tt4765284,live action
tt0373051,live action
tt0107798,live action
tt0368933,live action
tt0825232,live action
tt0109446,live action
tt1204342,live action
tt0105112,live action
tt0369735,live action
tt0139654,live action
tt3631112,live action
tt0177789,live action
tt0257106,live action
tt0120611,live action
tt0393162,live action
tt1038919,live action
tt0264472,live action
tt0118615,live action
tt0401855,live action
tt3224458,live action
tt0200550,live action
tt0314331,live action
tt0116669,live action
tt0111255,live action
tt1711525,live action
tt0117918,live action
tt0371724,animation/live action
tt0432021,live action
tt0396592,live action
tt1615065,live action
tt0110997,live action
tt1086772,live action
tt0408985,live action
tt0450232,live action
tt0113419,live action
tt0337921,live action
tt5606664,live action
tt0429589,digital animation
tt0274166,live action
tt0087182,live action
tt0775552,live action
tt0445922,live action
tt0959337,live action
tt0364970,live action
tt3513548,Live Action
tt0109836,live action
tt0116421,live action
tt1946502,digital animation
tt0117108,live action
tt0237572,live action
tt0117331,live action
tt0376108,live action
tt1139328,live action
tt0149624,live action
tt0814022,live action
tt0113987,live action
tt1343727,live action
tt0376136,live action
tt0118956,live action
tt3289724,animation/live action
tt1634122,live action
tt1046997,live action
tt0246464,live action
tt0484740,live action
tt0255477,live action
tt0120107,live action
tt0249516,digital animation
tt1024648,live action
tt0106977,live action
tt0089880,live action
tt0117665,live action
tt1438254,live action
tt0116731,live action
tt2788710,live action
tt0080855,.
tt2404463,live action
tt0181536,live action
tt0191754,live action
tt0253867,live action
tt5177088,live action
tt3416532,animation/live action
tt0472399,live action
tt0106918,live action
tt1232829,live action
tt0125439,live action
tt3281548,live action
tt0120630,stop-motion animation
tt0343135,live action
tt0103859,live action
tt0889583,live action
tt0056937,live action
tt2334871,live action
tt1648179,live action
tt0257756,live action
tt0117057,live action
tt1486185,live action
tt0265349,live action
tt0097742,live action
tt1255919,live action
tt1598828,live action
tt0179626,live action
tt0399295,live action
tt0108255,live action
tt0104412,live action
tt1568338,live action
tt1032751,live action
tt0119640,live action
tt1634037,live action
tt0298203,live action
tt2066051,live action
tt0183790,live action
tt0288045,live action
tt1053810,live action
tt0167404,live action
tt0396269,live action
tt1155076,live action
tt6146586,live action
tt2322441,live action
tt8946378,live action
tt1041829,live action
tt1800241,live action
tt0349205,live action
tt2872732,live action
tt1091191,live action
tt0096874,live action
tt0150377,live action
tt0338459,live action
tt0117913,live action
tt0104694,live action
tt1285016,live action
tt1135503,live action
tt1001508,live action
tt2869728,live action
tt0362120,live action
tt2561572,live action
tt0134084,live action
tt0099088,live action
tt2140479,live action
tt2096672,live action
tt2203939,live action
tt0103874,live action
tt0397313,live action
tt0134119,live action
tt2361509,live action
tt0104691,live action
tt0350258,live action
tt0401792,live action
tt3682448,live action
tt0443274,live action
tt1155056,live action
tt0256380,live action
tt0102138,live action
tt0421729,live action
tt6189022,Live Action
tt2119543,live action
tt2119532,live action
tt0236493,live action
tt1144884,live action
tt0974661,live action
tt1401152,live action
tt1226229,live action
tt0348836,live action
tt0159273,live action
tt1189340,live action
tt0358135,live action
tt0445990,live action
tt0765446,digital animation
tt0122718,live action
tt0120177,live action
tt2170439,live action
tt0245844,live action
tt0482571,live action
tt0410297,live action
tt1424381,live action
tt1462769,live action
tt0093428,live action
tt0472043,live action
tt0758766,live action
tt0091396,live action
tt0363988,live action
tt0397101,live action
tt1742044,live action
tt0866439,live action
tt0119978,live action
tt0104839,live action
tt0118607,live action
tt2557490,live action
tt1622979,live action
tt4218572,live action
tt0332047,live action
tt0758730,live action
tt1153702,live action
tt1956620,live action
tt1262416,live action
tt0110989,live action
tt0174480,live action
tt1092026,live action
tt1694020,live action
tt1657507,live action
tt0134273,live action
tt1590193,live action
tt0162983,live action
tt0101761,live action
tt0130121,live action
tt6663582,live action
tt0223897,live action
tt1334512,live action
tt0817538,live action
tt4572514,live action
tt0111143,live action
tt1129442,live action
tt1126618,live action
tt0430308,live action
tt2139881,live action
tt0160009,live action
tt1661382,live action
tt0163983,live action
tt0294870,live action
tt0129280,live action
tt3486626,digital animation
tt0116654,live action
tt0246544,live action
tt2592614,live action
tt0467200,live action
tt4481514,live action
tt0230838,live action
tt0444682,live action
tt0479997,live action
tt0110971,live action
tt0120800,hand animation
tt0269095,live action
tt0132512,live action
tt3522806,live action
tt0329691,live action
tt0432283,stop-motion animation
